STID,Lon,Lat,Alt
57036,108.55 ,34.15 ,396.9 
57816,106.42 ,26.34 ,1071.2 
51076,88.06 ,47.52 ,735.1 
51431,81.17 ,43.55 ,66.3 
51463,87.28 ,43.54 ,653.5 
51573,89.11 ,42.56 ,34.5 
51709,75.45 ,39.31 ,1289.0 
51777,88.03 ,39.05 ,888.3 
51828,79.55 ,37.07 ,1374.6 
52203,93.27 ,42.50 ,737.9 
52418,94.47 ,40.08 ,1138.7 
52681,103.06 ,38.43 ,1367.0 
52818,94.38 ,36.12 ,2806.1 
52866,101.55 ,36.35 ,2261.2 
52889,103.53 ,36.03 ,1517.2 
56294,104.04 ,30.40 ,505.9 
56385,103.21 ,29.31 ,3137.0 
56739,98.29 ,25.07 ,1647.8 
56959,100.45 ,21.55 ,533.0 
56985,103.23 ,23.20 ,1300.7 
